datetime,line_id,inflow_m3d,per
2018-05-01,11810128,73887.6,4
2018-06-01,11810128,60887.7,5
2018-07-01,11810128,22739.9,6
2018-08-01,11810128,71103.8,7
2018-09-01,11810128,37026.7,8
2018-10-01,11810128,54666.0,9
2018-11-01,11810128,195679.0,10
2018-12-01,11810128,418120.0,11
2018-01-01,11810494,968895.0,0
2018-02-01,11810494,6468500.0,1
2018-03-01,11810494,2958960.0,2
2018-04-01,11810494,2417710.0,3
2018-05-01,11810494,2833620.0,4
2018-06-01,11810494,1664130.0,5
2018-07-01,11810494,1123320.0,6
2018-08-01,11810494,1558760.0,7
2018-09-01,11810494,971562.0,8
2018-10-01,11810494,917781.0,9
2018-11-01,11810494,2407920.0,10
2018-12-01,11810494,5097860.0,11
2018-01-01,11832722,87078.3,0
2018-02-01,11832722,959373.0,1
2018-03-01,11832722,261404.0,2
2018-04-01,11832722,146120.0,3
2018-05-01,11832722,106321.0,4
2018-06-01,11832722,32771.6,5
2018-07-01,11832722,12184.9,6
2018-08-01,11832722,77629.8,7
2018-09-01,11832722,76145.5,8
2018-10-01,11832722,107952.0,9
2018-11-01,11832722,226378.0,10
2018-12-01,11832722,483664.0,11
2018-01-01,11833760,9239050.0,0
2018-02-01,11833760,41362800.0,1
2018-03-01,11833760,40470300.0,2
2018-04-01,11833760,33994400.0,3
2018-05-01,11833760,25068600.0,4
2018-06-01,11833760,13892700.0,5
2018-07-01,11833760,5250450.0,6
2018-08-01,11833760,7100010.0,7
2018-09-01,11833760,6326280.0,8
2018-10-01,11833760,8648620.0,9
2018-11-01,11833760,18784600.0,10
2018-12-01,11833760,49275700.0,11
2018-01-01,14076476,253106.0,0
2018-02-01,14076476,1295680.0,1
2018-03-01,14076476,543164.0,2
2018-04-01,14076476,364381.0,3
2018-05-01,14076476,240294.0,4
2018-06-01,14076476,356236.0,5
2018-07-01,14076476,244050.0,6
2018-08-01,14076476,106338.0,7
2018-09-01,14076476,179815.0,8
2018-10-01,14076476,121535.0,9
